id,date,home_team,home_team_score,visit_team,visit_team_score
400277722,2013-10-30,Miami,120,Boston Celtics,107
400277737,2013-11-02,Boston Celtics,88,Milwaukee,99
400277747,2013-11-03,Washington,86,Boston Celtics,89
400277774,2013-11-07,Boston Celtics,100,Washington,94
400277790,2013-11-09,Boston Celtics,100,Philadelphia,106
400277806,2013-11-10,Milwaukee,92,Boston Celtics,96
400277818,2013-11-12,Chicago,95,Boston Celtics,101
400277830,2013-11-14,Boston Celtics,98,Utah,93
400277839,2013-11-15,Brooklyn,102,Boston Celtics,97
400277851,2013-11-17,Boston Celtics,107,Toronto,89
400277864,2013-11-18,Detroit,103,Boston Celtics,83
400277881,2013-11-21,Boston Celtics,100,San Antonio,112
400277893,2013-11-23,Boston Celtics,108,Oklahoma City,100
400277915,2013-11-25,Orlando,110,Boston Celtics,116
400277931,2013-11-28,Boston Celtics,83,Brooklyn,95
400277945,2013-11-30,Boston Celtics,96,Portland,78
400277958,2013-12-01,Milwaukee,91,Boston Celtics,88
400277979,2013-12-05,Boston Celtics,104,Minnesota,94
400277990,2013-12-07,Philadelphia,95,Boston Celtics,94
400278005,2013-12-08,Boston Celtics,92,Philadelphia,79
400278035,2013-12-12,Boston Celtics,117,Dallas,115
400278052,2013-12-14,Houston,101,Boston Celtics,89
400278064,2013-12-15,San Antonio,103,Boston Celtics,88
400278080,2013-12-18,Chicago,100,Boston Celtics,89
400278090,2013-12-19,Boston Celtics,103,Cleveland,91
400278102,2013-12-21,Boston Celtics,94,Milwaukee,99
400278125,2013-12-25,Brooklyn,76,Boston Celtics,93
400278144,2013-12-27,Los Angeles,106,Boston Celtics,77
400278167,2013-12-29,Golden State,101,Boston Celtics,83
400278170,2013-12-30,Sacramento,118,Boston Celtics,96
400278188,2013-01-02,Boston Celtics,83,Memphis,93
400278203,2013-01-04,Boston Celtics,94,Indiana,75
400278209,2013-01-05,Atlanta,81,Boston Celtics,89
400278225,2013-01-07,NY Knicks,96,Boston Celtics,102
400278239,2013-01-09,Boston Celtics,87,Phoenix,79
400278251,2013-01-11,Boston Celtics,103,Houston,91
400278277,2013-01-14,Boston Celtics,100,Charlotte,89
400278293,2013-01-16,Boston Celtics,78,New Orleans,90
400278304,2013-01-18,Boston Celtics,99,Chicago,100
400278323,2013-01-20,Detroit,103,Boston Celtics,88
400278334,2013-01-22,Cleveland,95,Boston Celtics,90
400278350,2013-01-24,Boston Celtics,86,NY Knicks,89
400278353,2013-01-25,Atlanta,123,Boston Celtics,111
400278372,2013-01-27,Boston Celtics,100,Miami,98
400278392,2013-01-30,Boston Celtics,99,Sacramento,81
400278406,2013-02-01,Boston Celtics,97,Orlando,84
400278425,2013-02-03,Boston Celtics,106,Los Angeles,104
400278440,2013-02-06,Toronto,95,Boston Celtics,99
400278453,2013-02-07,Boston Celtics,116,Los Angeles,95
400278474,2013-02-10,Boston Celtics,118,Denver,114
400278482,2013-02-11,Charlotte,94,Boston Celtics,91
400278498,2013-02-13,Boston Celtics,71,Chicago,69
400278514,2013-02-19,Denver,97,Boston Celtics,90
400278527,2013-02-20,Los Angeles,113,Boston Celtics,99
400278540,2013-02-22,Phoenix,88,Boston Celtics,113
